Source: https://algomaster.io/practice/dsa-patterns,,,,,
,,,,,
Topic,Title,LeetCode Link,Problem,Solved,Bookmark
Kadane's Algorithm,Maximum Sum Circular Subarray,https://leetcode.com/problems/maximum-sum-circular-subarray,Maximum Sum Circular Subarray,,
Kadane's Algorithm,Maximum Product Subarray,https://leetcode.com/problems/maximum-product-subarray,Maximum Product Subarray,,
Kadane's Algorithm,Best Sightseeing Pair,https://leetcode.com/problems/best-sightseeing-pair,Best Sightseeing Pair,,
Matrix (2D Array),Spiral Matrix,https://leetcode.com/problems/spiral-matrix,Spiral Matrix,,
Matrix (2D Array),Rotate Image,https://leetcode.com/problems/rotate-image,Rotate Image,,
Matrix (2D Array),Set Matrix Zeroes,https://leetcode.com/problems/set-matrix-zeroes,Set Matrix Zeroes,,
Matrix (2D Array),Valid Sudoku,https://leetcode.com/problems/valid-sudoku,Valid Sudoku,,
Matrix (2D Array),Game of Life,https://leetcode.com/problems/game-of-life,Game of Life,,
Linked List,Intersection of Two Linked Lists,https://leetcode.com/problems/intersection-of-two-linked-lists,Intersection of Two Linked Lists,,
Linked List,Design Linked List,https://leetcode.com/problems/design-linked-list,Design Linked List,,
Linked List,Remove Nth Node From End of List,https://leetcode.com/problems/remove-nth-node-from-end-of-list,Remove Nth Node From End of List,,
Linked List,Remove Duplicates from Sorted List II,https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii,Remove Duplicates from Sorted List II,,
Linked List,Swap Nodes in Pairs,https://leetcode.com/problems/swap-nodes-in-pairs,Swap Nodes in Pairs,,
Linked List,Copy List with Random Pointer,https://leetcode.com/problems/copy-list-with-random-pointer,Copy List with Random Pointer,,
Linked List,Partition List,https://leetcode.com/problems/partition-list,Partition List,,
Linked List,Rotate List,https://leetcode.com/problems/rotate-list,Rotate List,,
Linked List,Add Two Numbers,https://leetcode.com/problems/add-two-numbers,Add Two Numbers,,
Linked List,Flatten a Multilevel Doubly Linked List,https://leetcode.com/problems/flatten-a-multilevel-doubly-linked-list,Flatten a Multilevel Doubly Linked List,,
LinkedList In-place Reversal,Palindrome Linked List,https://leetcode.com/problems/palindrome-linked-list,Palindrome Linked List,,
LinkedList In-place Reversal,Reverse Linked List,https://leetcode.com/problems/reverse-linked-list,Reverse Linked List,,
LinkedList In-place Reversal,Reverse Linked List II,https://leetcode.com/problems/reverse-linked-list-ii,Reverse Linked List II,,
LinkedList In-place Reversal,Reverse Nodes in k-Group,https://leetcode.com/problems/reverse-nodes-in-k-group,Reverse Nodes in k-Group,,
Fast and Slow Pointers,Middle of the Linked List,https://leetcode.com/problems/middle-of-the-linked-list,Middle of the Linked List,,
Fast and Slow Pointers,Happy Number,https://leetcode.com/problems/happy-number,Happy Number,,
Fast and Slow Pointers,Linked List Cycle II,https://leetcode.com/problems/linked-list-cycle-ii,Linked List Cycle II,,
Stacks,Valid Parentheses,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,,
Stacks,Remove All Adjacent Duplicates In String,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string,Remove All Adjacent Duplicates In String,,
Stacks,Min Stack,https://leetcode.com/problems/min-stack,Min Stack,,
Stacks,Remove Duplicate Letters,https://leetcode.com/problems/remove-duplicate-letters,Remove Duplicate Letters,,
Stacks,Removing Stars From a String,https://leetcode.com/problems/removing-stars-from-a-string,Removing Stars From a String,,
Stacks,Evaluate Reverse Polish Notation,https://leetcode.com/problems/evaluate-reverse-polish-notation,Evaluate Reverse Polish Notation,,
Stacks,Basic Calculator II,https://leetcode.com/problems/basic-calculator-ii,Basic Calculator II,,
Stacks,Longest Valid Parentheses,https://leetcode.com/problems/longest-valid-parentheses,Longest Valid Parentheses,,
Monotonic Stack,Next Greater Element I,https://leetcode.com/problems/next-greater-element-i,Next Greater Element I,,
Monotonic Stack,Daily Temperatures,https://leetcode.com/problems/daily-temperatures,Daily Temperatures,,
Monotonic Stack,Online Stock Span,https://leetcode.com/problems/online-stock-span,Online Stock Span,,
Monotonic Stack,132 Pattern,https://leetcode.com/problems/132-pattern,132 Pattern,,
Monotonic Stack,Number of Visible People in a Queue,https://leetcode.com/problems/number-of-visible-people-in-a-queue,Number of Visible People in a Queue,,
Monotonic Stack,Largest Rectangle in Histogram,https://leetcode.com/problems/largest-rectangle-in-histogram,Largest Rectangle in Histogram,,
Queues,Number of Recent Calls,https://leetcode.com/problems/number-of-recent-calls,Number of Recent Calls,,
Queues,Time Needed to Buy Tickets,https://leetcode.com/problems/time-needed-to-buy-tickets,Time Needed to Buy Tickets,,
