Source: https://algomaster.io/practice/dsa-patterns,,,,,
,,,,,
Topic,Title,LeetCode Link,Problem,Solved,Bookmark
1-D DP,Min Cost Climbing Stairs,https://leetcode.com/problems/min-cost-climbing-stairs,Min Cost Climbing Stairs,,
1-D DP,House Robber,https://leetcode.com/problems/house-robber,House Robber,,
1-D DP,House Robber II,https://leetcode.com/problems/house-robber-ii,House Robber II,,
Knapsack DP,Partition Equal Subset Sum,https://leetcode.com/problems/partition-equal-subset-sum,Partition Equal Subset Sum,,
Knapsack DP,Target Sum,https://leetcode.com/problems/target-sum,Target Sum,,
Knapsack DP,Last Stone Weight II,https://leetcode.com/problems/last-stone-weight-ii,Last Stone Weight II,,
Unbounded Knapsack DP,Coin Change,https://leetcode.com/problems/coin-change,Coin Change,,
Unbounded Knapsack DP,Coin Change II,https://leetcode.com/problems/coin-change-ii,Coin Change II,,
Unbounded Knapsack DP,Perfect Squares,https://leetcode.com/problems/perfect-squares,Perfect Squares,,
Longest Increasing Subsequence DP,Longest Increasing Subsequence,https://leetcode.com/problems/longest-increasing-subsequence,Longest Increasing Subsequence,,
Longest Increasing Subsequence DP,Number of Longest Increasing Subsequence,https://leetcode.com/problems/number-of-longest-increasing-subsequence,Number of Longest Increasing Subsequence,,
Longest Increasing Subsequence DP,Russian Doll Envelopes,https://leetcode.com/problems/russian-doll-envelopes,Russian Doll Envelopes,,
2D (Grid) DP,Unique Paths II,https://leetcode.com/problems/unique-paths-ii,Unique Paths II,,
2D (Grid) DP,Minimum Path Sum,https://leetcode.com/problems/minimum-path-sum,Minimum Path Sum,,
2D (Grid) DP,Triangle,https://leetcode.com/problems/triangle,Triangle,,
2D (Grid) DP,Count Square Submatrices with All Ones,https://leetcode.com/problems/count-square-submatrices-with-all-ones,Count Square Submatrices with All Ones,,
2D (Grid) DP,Maximum Number of Points with Cost,https://leetcode.com/problems/maximum-number-of-points-with-cost,Maximum Number of Points with Cost,,
2D (Grid) DP,Burst Balloons,https://leetcode.com/problems/burst-balloons,Burst Balloons,,
2D (Grid) DP,Maximum Profit in Job Scheduling,https://leetcode.com/problems/maximum-profit-in-job-scheduling,Maximum Profit in Job Scheduling,,
2D (Grid) DP,Cherry Pickup,https://leetcode.com/problems/cherry-pickup,Cherry Pickup,,
2D (Grid) DP,Longest Increasing Path in a Matrix,https://leetcode.com/problems/longest-increasing-path-in-a-matrix,Longest Increasing Path in a Matrix,,
String DP,Longest Common Subsequence,https://leetcode.com/problems/longest-common-subsequence,Longest Common Subsequence,,
String DP,Edit Distance,https://leetcode.com/problems/edit-distance,Edit Distance,,
String DP,Longest Palindromic Subsequence,https://leetcode.com/problems/longest-palindromic-subsequence,Longest Palindromic Subsequence,,
String DP,Decode Ways,https://leetcode.com/problems/decode-ways,Decode Ways,,
String DP,Word Break,https://leetcode.com/problems/word-break,Word Break,,
String DP,Interleaving String,https://leetcode.com/problems/interleaving-string,Interleaving String,,
String DP,Wildcard Matching,https://leetcode.com/problems/wildcard-matching,Wildcard Matching,,
String DP,Distinct Subsequences,https://leetcode.com/problems/distinct-subsequences,Distinct Subsequences,,
String DP,Palindrome Partitioning II,https://leetcode.com/problems/palindrome-partitioning-ii,Palindrome Partitioning II,,
Tree / Graph DP,House Robber III,https://leetcode.com/problems/house-robber-iii,House Robber III,,
Tree / Graph DP,Unique Binary Search Trees II,https://leetcode.com/problems/unique-binary-search-trees-ii,Unique Binary Search Trees II,,
Tree / Graph DP,Number of Ways to Arrive at Destination,https://leetcode.com/problems/number-of-ways-to-arrive-at-destination,Number of Ways to Arrive at Destination,,
Tree / Graph DP,Binary Tree Cameras,https://leetcode.com/problems/binary-tree-cameras,Binary Tree Cameras,,
Tree / Graph DP,Sum of Distances in Tree,https://leetcode.com/problems/sum-of-distances-in-tree,Sum of Distances in Tree,,
Bitmask DP,Minimum Number of Work Sessions to Finish the Tasks,https://leetcode.com/problems/minimum-number-of-work-sessions-to-finish-the-tasks,Minimum Number of Work Sessions to Finish the Tasks,,
Bitmask DP,Fair Distribution of Cookies,https://leetcode.com/problems/fair-distribution-of-cookies,Fair Distribution of Cookies,,
Bitmask DP,Shortest Path Visiting All Nodes,https://leetcode.com/problems/shortest-path-visiting-all-nodes,Shortest Path Visiting All Nodes,,
Digit DP,Count Numbers with Unique Digits,https://leetcode.com/problems/count-numbers-with-unique-digits,Count Numbers with Unique Digits,,
Digit DP,Number of Digit One,https://leetcode.com/problems/number-of-digit-one,Number of Digit One,,
Digit DP,Numbers At Most N Given Digit Set,https://leetcode.com/problems/numbers-at-most-n-given-digit-set,Numbers At Most N Given Digit Set,,
Probability DP,Knight Probability in Chessboard,https://leetcode.com/problems/knight-probability-in-chessboard,Knight Probability in Chessboard,,
Probability DP,Soup Servings,https://leetcode.com/problems/soup-servings,Soup Servings,,
Probability DP,New 21 Game,https://leetcode.com/problems/new-21-game,New 21 Game,,
State Machine DP,Best Time to Buy and Sell Stock with Cooldown,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-cooldown,Best Time to Buy and Sell Stock with Cooldown,,
State Machine DP,Best Time to Buy and Sell Stock III,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii,Best Time to Buy and Sell Stock III,,
String Matching,Repeated String Match,https://leetcode.com/problems/repeated-string-match,Repeated String Match,,
String Matching,Shortest Palindrome,https://leetcode.com/problems/shortest-palindrome,Shortest Palindrome,,
Binary Indexed Tree / Segment Tree,Range Sum Query - Mutable,https://leetcode.com/problems/range-sum-query-mutable,Range Sum Query - Mutable,,
Binary Indexed Tree / Segment Tree,Count of Smaller Numbers After Self,https://leetcode.com/problems/count-of-smaller-numbers-after-self,Count of Smaller Numbers After Self,,
Maths / Geometry,Palindrome Number,https://leetcode.com/problems/palindrome-number,Palindrome Number,,
Maths / Geometry,Reverse Integer,https://leetcode.com/problems/reverse-integer,Reverse Integer,,
Maths / Geometry,Factorial Trailing Zeroes,https://leetcode.com/problems/factorial-trailing-zeroes,Factorial Trailing Zeroes,,
Maths / Geometry,Valid Square,https://leetcode.com/problems/valid-square,Valid Square,,
Maths / Geometry,Minimum Area Rectangle II,https://leetcode.com/problems/minimum-area-rectangle-ii,Minimum Area Rectangle II,,
Maths / Geometry,Max Points on a Line,https://leetcode.com/problems/max-points-on-a-line,Max Points on a Line,,
Line Sweep,Minimum Interval to Include Each Query,https://leetcode.com/problems/minimum-interval-to-include-each-query,Minimum Interval to Include Each Query,,
Line Sweep,The Skyline Problem,https://leetcode.com/problems/the-skyline-problem,The Skyline Problem,,
Suffix Array,Longest Duplicate Substring,https://leetcode.com/problems/longest-duplicate-substring,Longest Duplicate Substring,,
